"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "MS SQL", "Markdown", "JSON", "Python", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/sql/test_3_recipes_full_chain.sql", "MS SQL", 0, 0, 0, 0, 331, 0, 0, 0, 160, 121, 612
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/sql/test_3_recipes_simple.sql", "MS SQL", 0, 0, 0, 0, 88, 0, 0, 0, 60, 49, 197
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/sql/verify_recipe_components.sql", "MS SQL", 0, 0, 0, 0, 159, 0, 0, 0, 1, 1, 161
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/AuthLayout.vue", "Vue", 0, 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/EmptyLayout.vue", "Vue", 0, 0, 12, 0, 0, 0, 0, 0, 1, 3, 16
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/KitchenLayout.vue", "Vue", 0, 0, 91, 0, 0, 0, 0, 0, 3, 16, 110
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/MainLayout.vue", "Vue", 0, 0, 32, 0, 0, 0, 0, 0, 1, 7, 40
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/PosLayout.vue", "Vue", 0, 0, 107, 0, 0, 0, 0, 0, 5, 18, 130
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/pos/index.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 4, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/pos/posConstants.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 4, 9, 93
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/pos/posTypes.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 1, 6, 64
"/Users/peaker/dev/kitchen-app/backoffice/src/layouts/pos/usePosLayout.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 17, 21, 122
"/Users/peaker/dev/kitchen-app/backoffice/src/main.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 14, 15, 77
"/Users/peaker/dev/kitchen-app/backoffice/src/plugins/vuetify.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 2, 3, 114
"/Users/peaker/dev/kitchen-app/backoffice/src/repositories/base/IRepository.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 113, 42, 236
"/Users/peaker/dev/kitchen-app/backoffice/src/repositories/base/LocalStorageRepository.ts", "TypeScript", 272, 0, 0, 0, 0, 0, 0, 0, 19, 57, 348
"/Users/peaker/dev/kitchen-app/backoffice/src/repositories/base/ServiceResponse.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 69, 32, 235
"/Users/peaker/dev/kitchen-app/backoffice/src/repositories/base/index.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 25, 20, 135
"/Users/peaker/dev/kitchen-app/backoffice/src/router/guards/auth.guard.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 0, 14, 12, 144
"/Users/peaker/dev/kitchen-app/backoffice/src/router/index.ts", "TypeScript", 398, 0, 0, 0, 0, 0, 0, 0, 42, 27, 467
"/Users/peaker/dev/kitchen-app/backoffice/src/router/types.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/checkBothDatabases.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 5, 14, 70
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/checkProductionDb.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 4, 10, 49
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/checkProductionTables.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 4, 13, 72
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/migrateMenuToSupabase.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 17, 32, 138
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/addWarehouseRLS.sql", "MS SQL", 0, 0, 0, 0, 18, 0, 0, 0, 6, 5, 29
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/applyPinAuthFunctions.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 13, 25, 110
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/createAuthUsersProduction.sql", "MS SQL", 0, 0, 0, 0, 142, 0, 0, 0, 11, 7, 160
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/createPinAuthFunctions.sql", "MS SQL", 0, 0, 0, 0, 102, 0, 0, 0, 15, 12, 129
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/seedUsersProduction.sql", "MS SQL", 0, 0, 0, 0, 80, 0, 0, 0, 5, 3, 88
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/seedWarehouseProduction.sql", "MS SQL", 0, 0, 0, 0, 16, 0, 0, 0, 4, 3, 23
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/syncUsersFromDev.sql", "MS SQL", 0, 0, 0, 0, 106, 0, 0, 0, 6, 4, 116
"/Users/peaker/dev/kitchen-app/backoffice/src/scripts/seed/users.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 0, 0, 27, 23, 221
